"REF_DATE","GEO","DGUID","Fuel type","Supply and demand characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016","Canada","2016A000011124","Total coal","Residential","Terajoules","283","units","0","v54272741","1.29.44","","x","","","0"
"2017","Canada","2016A000011124","Total coal","Residential","Terajoules","283","units","0","v54272741","1.29.44","","..","","","0"
"2018","Canada","2016A000011124","Total coal","Residential","Terajoules","283","units","0","v54272741","1.29.44","0","","","","0"
"2019","Canada","2016A000011124","Total coal","Residential","Terajoules","283","units","0","v54272741","1.29.44","","..","","","0"
"2020","Canada","2016A000011124","Total coal","Residential","Terajoules","283","units","0","v54272741","1.29.44","0","","","","0"
"2015","Canada","2016A000011124","Total coal","Commercial and other institutional","Terajoules","283","units","0","v54272742","1.29.46","","x","","","0"
"2016","Canada","2016A000011124","Total coal","Commercial and other institutional","Terajoules","283","units","0","v54272742","1.29.46","","x","","","0"
"2017","Canada","2016A000011124","Total coal","Commercial and other institutional","Terajoules","283","units","0","v54272742","1.29.46","","x","","","0"
"2018","Canada","2016A000011124","Total coal","Commercial and other institutional","Terajoules","283","units","0","v54272742","1.29.46","0","","","","0"
"2019","Canada","2016A000011124","Total coal","Commercial and other institutional","Terajoules","283","units","0","v54272742","1.29.46","0","","","","0"
"2020","Canada","2016A000011124","Total coal","Commercial and other institutional","Terajoules","283","units","0","v54272742","1.29.46","0","","","","0"
"2015","Canada","2016A000011124","Total coal","Statistical difference","Terajoules","283","units","0","v54272743","1.29.47","","x","","","0"
"2016","Canada","2016A000011124","Total coal","Statistical difference","Terajoules","283","units","0","v54272743","1.29.47","","x","","","0"
"2017","Canada","2016A000011124","Total coal","Statistical difference","Terajoules","283","units","0","v54272743","1.29.47","","x","","","0"
"2018","Canada","2016A000011124","Total coal","Statistical difference","Terajoules","283","units","0","v54272743","1.29.47","2828","","","","0"
"2019","Canada","2016A000011124","Total coal","Statistical difference","Terajoules","283","units","0","v54272743","1.29.47","420","","","","0"
"2020","Canada","2016A000011124","Total coal","Statistical difference","Terajoules","283","units","0","v54272743","1.29.47","1801","","","","0"
"2015","Canada","2016A000011124","Natural gas","Energy use, final demand","Terajoules","283","units","0","v54272839","1.5.18","2875528","","","","0"
"2016","Canada","2016A000011124","Natural gas","Energy use, final demand","Terajoules","283","units","0","v54272839","1.5.18","2768274","","","","0"
"2017","Canada","2016A000011124","Natural gas","Energy use, final demand","Terajoules","283","units","0","v54272839","1.5.18","2938166","","","","0"
"2018","Canada","2016A000011124","Natural gas","Energy use, final demand","Terajoules","283","units","0","v54272839","1.5.18","3193465","","","","0"
"2019","Canada","2016A000011124","Natural gas","Energy use, final demand","Terajoules","283","units","0","v54272839","1.5.18","3190500","","","","0"
"2020","Canada","2016A000011124","Natural gas","Energy use, final demand","Terajoules","283","units","0","v54272839","1.5.18","3016915","","","","0"
"2015","Canada","2016A000011124","Natural gas","Total industrial","Terajoules","283","units","0","v54272853","1.5.31","1485959","","","","0"
"2016","Canada","2016A000011124","Natural gas","Total industrial","Terajoules","283","units","0","v54272853","1.5.31","1414042","","","","0"
"2017","Canada","2016A000011124","Natural gas","Total industrial","Terajoules","283","units","0","v54272853","1.5.31","1488653","","","","0"
"2018","Canada","2016A000011124","Natural gas","Total industrial","Terajoules","283","units","0","v54272853","1.5.31","1614293","","","","0"
"2019","Canada","2016A000011124","Natural gas","Total industrial","Terajoules","283","units","0","v54272853","1.5.31","1629051","","","","0"
