GEO_NAME,Census year,Sex,Marital status, Total - Age,15 to 19 years,20 to 24 years
Saskatchewan,2016,Female,Living common law,41280,825,6165
Saskatchewan,2011,Female,Total - Marital status,424980,34885,35470
Saskatchewan,2011,Female,Married or living common law,243495,1145,9720
Saskatchewan,2011,Female,Married,207655,115,3350
Saskatchewan,2011,Female,Living common law,35845,1035,6375
Saskatchewan,2006,Female,Total - Marital status,401185,36450,33440
Saskatchewan,2006,Female,Married or living common law,227010,1445,9420
Saskatchewan,2006,Female,Married,198220,190,3595
Saskatchewan,2006,Female,Living common law,28795,1255,5825
Saskatchewan,2001,Female,Total - Marital status,395780,38105,32615
Saskatchewan,2001,Female,Married or living common law,226750,1420,9950
Saskatchewan,2001,Female,Married,202010,215,4685
Saskatchewan,2001,Female,Living common law,24740,1200,5265
Saskatchewan,1996,Female,Total - Marital status,389330,37275,32085
Saskatchewan,1996,Female,Married or living common law,228505,1710,10930
Saskatchewan,1996,Female,Married,206530,260,5790
Saskatchewan,1996,Female,Living common law,21975,1450,5140
Alberta,2016,Female,Total - Marital status,1648185,116415,127840
Alberta,2016,Female,Married or living common law,980890,2455,32070
Alberta,2016,Female,Married,820790,385,11150
Alberta,2016,Female,Living common law,160100,2070,20915
Alberta,2011,Female,Total - Marital status,1483740,116145,126970
Alberta,2011,Female,Married or living common law,875015,3590,35535
Alberta,2011,Female,Married,739035,570,13460
Alberta,2011,Female,Living common law,135975,3015,22080
Alberta,2006,Female,Total - Marital status,1335630,116075,123005
Alberta,2006,Female,Married or living common law,786600,5010,36765
Alberta,2006,Female,Married,672330,1085,15105
Alberta,2006,Female,Living common law,114275,3920,21660
Alberta,2001,Female,Total - Marital status,1186865,108925,105395
Alberta,2001,Female,Married or living common law,703630,4310,32825
Alberta,2001,Female,Married,611535,815,15720
Alberta,2001,Female,Living common law,92090,3495,17105
Alberta,1996,Female,Total - Marital status,1049155,93255,91730
Alberta,1996,Female,Married or living common law,633165,4330,30910
Alberta,1996,Female,Married,561550,1025,16750
